wav_path,emotion,prompt_id,tts
sentences/azure/fold_3_en-US-GuyNeural/38.wav,happy,idx38,azure
sentences/cosyvoice2/fold_4_onyx/38.wav,happy,idx38,cosyvoice2
sentences/genai/fold_4_kore/38.wav,happy,idx38,genai
sentences/openai/fold_1_nova/38.wav,happy,idx38,openai
sentences/azure/fold_3_en-US-GuyNeural/14.wav,disgusted,idx14,azure
sentences/cosyvoice2/fold_2_coral/14.wav,disgusted,idx14,cosyvoice2
sentences/genai/fold_5_charon/14.wav,disgusted,idx14,genai
sentences/openai/fold_1_nova/14.wav,disgusted,idx14,openai
sentences/azure/fold_2_en-US-DavisNeural/51.wav,sad,idx51,azure
sentences/cosyvoice2/fold_4_onyx/51.wav,sad,idx51,cosyvoice2
sentences/genai/fold_1_zephyr/51.wav,sad,idx51,genai
sentences/openai/fold_5_verse/51.wav,sad,idx51,openai
sentences/azure/fold_1_en-US-JennyNeural/50.wav,neutral,idx50,azure
sentences/cosyvoice2/fold_1_nova/50.wav,neutral,idx50,cosyvoice2
sentences/genai/fold_1_zephyr/50.wav,neutral,idx50,genai
sentences/openai/fold_4_onyx/50.wav,neutral,idx50,openai
sentences/azure/fold_4_en-US-AriaNeural/4.wav,angry,idx4,azure
sentences/cosyvoice2/fold_4_onyx/4.wav,angry,idx4,cosyvoice2
sentences/genai/fold_4_kore/4.wav,angry,idx4,genai
sentences/openai/fold_5_verse/4.wav,angry,idx4,openai
sentences/azure/fold_2_en-US-DavisNeural/66.wav,surprised,idx66,azure
sentences/cosyvoice2/fold_2_coral/66.wav,surprised,idx66,cosyvoice2
sentences/genai/fold_3_fenrir/66.wav,surprised,idx66,genai
sentences/openai/fold_4_onyx/66.wav,surprised,idx66,openai
sentences/azure/fold_3_en-US-GuyNeural/39.wav,happy,idx39,azure
sentences/cosyvoice2/fold_2_coral/39.wav,happy,idx39,cosyvoice2
sentences/genai/fold_1_zephyr/39.wav,happy,idx39,genai
sentences/openai/fold_3_echo/39.wav,happy,idx39,openai
sentences/azure/fold_3_en-US-GuyNeural/16.wav,disgusted,idx16,azure
sentences/cosyvoice2/fold_2_coral/16.wav,disgusted,idx16,cosyvoice2
sentences/genai/fold_2_leda/16.wav,disgusted,idx16,genai
sentences/openai/fold_2_coral/16.wav,disgusted,idx16,openai
sentences/azure/fold_2_en-US-DavisNeural/28.wav,fearful,idx28,azure
sentences/cosyvoice2/fold_2_coral/28.wav,fearful,idx28,cosyvoice2
sentences/genai/fold_2_leda/28.wav,fearful,idx28,genai
sentences/openai/fold_2_coral/28.wav,fearful,idx28,openai
sentences/azure/fold_3_en-US-GuyNeural/8.wav,angry,idx8,azure
sentences/cosyvoice2/fold_1_nova/8.wav,angry,idx8,cosyvoice2
sentences/genai/fold_5_charon/8.wav,angry,idx8,genai
sentences/openai/fold_2_coral/8.wav,angry,idx8,openai
sentences/azure/fold_4_en-US-AriaNeural/47.wav,neutral,idx47,azure
sentences/cosyvoice2/fold_1_nova/47.wav,neutral,idx47,cosyvoice2
sentences/genai/fold_3_fenrir/47.wav,neutral,idx47,genai
sentences/openai/fold_1_nova/47.wav,neutral,idx47,openai
sentences/azure/fold_3_en-US-GuyNeural/26.wav,fearful,idx26,azure
sentences/cosyvoice2/fold_1_nova/26.wav,fearful,idx26,cosyvoice2
sentences/genai/fold_5_charon/26.wav,fearful,idx26,genai
sentences/openai/fold_5_verse/26.wav,fearful,idx26,openai
sentences/azure/fold_2_en-US-DavisNeural/68.wav,surprised,idx68,azure
sentences/cosyvoice2/fold_3_echo/68.wav,surprised,idx68,cosyvoice2
sentences/genai/fold_3_fenrir/68.wav,surprised,idx68,genai
sentences/openai/fold_2_coral/68.wav,surprised,idx68,openai
sentences/azure/fold_5_en-US-SaraNeural/59.wav,sad,idx59,azure
sentences/cosyvoice2/fold_2_coral/59.wav,sad,idx59,cosyvoice2
sentences/genai/fold_5_charon/59.wav,sad,idx59,genai
sentences/openai/fold_3_echo/59.wav,sad,idx59,openai
